Salary,Name
925000,Thomas Chabot
2250000,Cody Ceci
8000000,Kyle Okposo
3500000,Erik Gudbranson
1750000,Tom Wilson
842500,Evan Rodrigues
925000,Sam Bennett
680000,Brett Kulak
5000000,Morgan Rielly
5250000,Jaden Schwartz
925000,William Nylander
717500,Brandon Carlo
900000,Tyson Jost
3750000,David Perron
792500,Oskar Sundqvist
6000000,Brayden Schenn
5500000,Justin Faulk
724500,Joseph Cramarossa
4000000,Radko Gudas
4250000,Roman Josi
742500,Jaccob Slavin
3000000,Adam Larsson
630000,Nic Dowd
925000,Ivan Provorov
925000,Lawson Crouse
6000000,Jordan Staal
2500000,Elias Lindholm
1050000,Erik Haula
792500,Anton Blidh
6000000,John Tavares
4500000,Nick Leddy
750000,Buddy Robinson
6750000,Mark Giordano
600000,Ryan Carpenter
667500,Kevin Labanc
925000,Troy Stecher
7000000,Jeff Petry
3900000,Alec Martinez
625000,Jordan Martinook
3400000,Evgeny Kuznetsov
575000,Yanni Gourde
925000,Jakob Chychrun
925000,Aaron Ekblad
825000,Josh Manson
3575000,Mikael Backlund
925000,Nick Schmaltz
13800000,Patrick Kane
3500000,Reilly Smith
7000000,Jeff Carter
6000000,Joe Pavelski
925000,Matthew Tkachuk
1000000,Luke Schenn
2750000,Brenden Dillon
925000,Auston Matthews
7450000,Drew Doughty
5400000,Rasmus Ristolainen
750000,Nic Petan
575000,Scott Mayfield
925000,Alex Tuch
925000,Mike Reilly
3000000,Mattias Ekholm
600000,Zac Dalpe
625000,Kevin Rooney
925000,J.T. Compher
5750000,Brandon Saad
892500,Noel Acciari
7250000,Kris Letang
10900000,Sidney Crosby
832500,Darnell Nurse
8000000,Vladimir Tarasenko
3500000,Eric Staal
600000,Andy Andreoff
705000,Mackenzie Weegar
4000000,Michael Stone
667500,Brayden Point
7000000,Erik Karlsson
9000000,Phil Kessel
600000,Oliver Bjorkstrand
925000,Adam Erne
792500,Frank Vatrano
832500,Radek Faksa
4250000,Nikita Kucherov
875000,Zach Sanford
2500000,Brock Nelson
675000,Luke Glendening
900000,Patrik Nemeth
9000000,Zach Parise
925000,Brock Boeser
4250000,Gustav Nyquist
635000,Barclay Goodrow
925000,Adrian Kempe
6000000,Erik Johnson
925000,Nick Ritchie
842500,Austin Czarnik
2570000,Dmitry Orlov
925000,Zach Werenski
925000,Gabriel Carlsson
750000,Trevor van Riemsdyk
5000000,Ryan McDonagh
4500000,Kyle Palmieri
2900000,Calvin de Haan
3100000,Andrew Cogliano
8000000,Milan Lucic
6000000,Logan Couture
